,Active.Date,COUNTY,LEGAL.NAME,INSTITUTION.TYPE.DESCRIPTION,INSTITUTION.SUB.TYPE.DESCRIPTION,GRADE.ORGANIZATION.DESCRIPTION,MAILING.ADDRESS,MAIL.CITY,STATE,ZIP,location,long,lat
1473,7/1/1980,WESTCHESTER,TRANSFIGURATION SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,40 PROSPECT AVE,TARRYTOWN,NY,10591,"40 PROSPECT AVE, TARRYTOWN, NY 10591",-73.8610068,41.0676066
1474,7/1/1980,WESTCHESTER,HACKLEY SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,K-12 School,293 BENEDICT AVE,TARRYTOWN,NY,10591,"293 BENEDICT AVE, TARRYTOWN, NY 10591",-73.8412791,41.0695057
1475,7/1/1980,WESTCHESTER,POCANTICO HILLS CENTRAL SCHOOL DISTRICT,SCHOOL DISTRICTS,CENTRAL,NA,599 BEDFORD RD,SLEEPY HOLLOW,NY,10591,"599 BEDFORD RD, SLEEPY HOLLOW, NY 10591",-73.8291097,41.0993277
1476,7/1/1980,WESTCHESTER,POCANTICO HILLS CENTRAL SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CENTRAL,Elementary,599 BEDFORD RD,SLEEPY HOLLOW,NY,10591,"599 BEDFORD RD, SLEEPY HOLLOW, NY 10591",-73.8291097,41.0993277
1477,7/1/1980,WESTCHESTER,MOUNT PLEASANT CENTRAL SCHOOL DISTRICT,SCHOOL DISTRICTS,INDEPENDENT CENTRAL,NA,825 WESTLAKE DR,THORNWOOD,NY,10594,"825 WESTLAKE DR, THORNWOOD, NY 10594",-73.7651756,41.1108747
1478,7/1/1980,WESTCHESTER,COLUMBUS ELEMENTARY SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT CENTRAL,Elementary,580 COLUMBUS AVE,THORNWOOD,NY,10594,"580 COLUMBUS AVE, THORNWOOD, NY 10594",-73.7759727,41.106513
1479,7/1/1980,WESTCHESTER,WESTLAKE HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT CENTRAL,Senior High,825 WESTLAKE DR,THORNWOOD,NY,10594,"825 WESTLAKE DR, THORNWOOD, NY 10594",-73.7651756,41.1108747
1480,7/1/1980,WESTCHESTER,WESTLAKE MIDDLE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT CENTRAL,Middle School,825 WESTLAKE DR,THORNWOOD,NY,10594,"825 WESTLAKE DR, THORNWOOD, NY 10594",-73.7651756,41.1108747
1481,7/1/2008,WESTCHESTER,E F INTERNATIONAL ACADEMY,NON-PUBLIC SCHOOLS,INDEPENDENT,Senior High,582 COLUMBUS AVE,THORNWOOD,NY,10594,"582 COLUMBUS AVE, THORNWOOD, NY 10594",-73.77602,41.1068277
1482,7/1/1985,WESTCHESTER,VALHALLA UNION FREE SCHOOL DISTRICT,SCHOOL DISTRICTS,INDEPENDENT UNION FREE,NA,316 COLUMBUS AVE,VALHALLA,NY,10595,"316 COLUMBUS AVE, VALHALLA, NY 10595",-73.7772504,41.0903935
