"NAME","the_geom","ADDRESS1","ADDRESS2","CITY","ZIP","long","lat"
"Robert Steele Gallery","POINT (-74.00398547780941 40.74942345786739)","511 W 25th St","","New York",10001,"-74.00398547780941","40.74942345786739"
"Robertson African Arts","POINT (-73.99212377125507 40.7415083515344)","36 W 22nd St","Apt 4","New York",10010,"-73.99212377125507","40.7415083515344"
"Rogallerycom","POINT (-73.95726808829765 40.76970749577403)","300 East 74th Street","","New York",10021,"-73.95726808829765","40.76970749577403"
"Ronald Feldman Fine Arts","POINT (-74.00185591328102 40.7211603892599)","31 Mercer St","","New York",10013,"-74.00185591328102","40.7211603892599"
"Roosevelt Island Visual Arts Assoc","POINT (-73.95643509706022 40.7535986702466)","527 Main St","","New York",10044,"-73.95643509706022","40.7535986702466"
"Rosen Andrea Gallery Inc","POINT (-74.00493762277485 40.74904372260324)","525 W 24th St","","New York",10011,"-74.00493762277485","40.74904372260324"
"Rosenberg & Kaufman Fine Art","POINT (-74.00070940720575 40.72502497030408)","115 Wooster St","","New York",10012,"-74.00070940720575","40.72502497030408"
"Rosenberg Paul & Co","POINT (-73.96251598937279 40.77623795678713)","20 E 79th St","","New York",10021,"-73.96251598937279","40.77623795678713"
"Ross Luise Gallery","POINT (-74.00391752109321 40.74945791536082)","511 West 25 Street","","New York",10001,"-74.00391752109321","40.74945791536082"
"Roth","POINT (-73.9625371631743 40.76883963218358)","160A E 70th St","","New York",10021,"-73.9625371631743","40.76883963218358"
"Rotunda Gallery","POINT (-73.99146799382999 40.69515733841206)","33 Clinton St","","Brooklyn",11201,"-73.99146799382999","40.69515733841206"
"Royal Fine Art","POINT (-73.95868741367525 40.77550888584743)","1158 Lexington Ave","","New York",10021,"-73.95868741367525","40.77550888584743"
"Royal-Athena Galleries","POINT (-73.96804936659153 40.760786110700764)","153 E 57th St","Ph","New York",10022,"-73.96804936659153","40.760786110700764"
"Rudolph De Paola Art Gallery","POINT (-74.02172406852321 40.6179934963939)","6 Parrott Pl","","Brooklyn",11228,"-74.02172406852321","40.6179934963939"
"Ruesch Jeffrey Fine Arts","POINT (-74.00107130886676 40.72382475175759)","134 Spring St","Fl 2","New York",10012,"-74.00107130886676","40.72382475175759"
"Russeck Gallery","POINT (-74.00056532211813 40.72679315564427)","478 W Broadway","","New York",10012,"-74.00056532211813","40.72679315564427"
"Russian World","POINT (-73.97604749164573 40.7619257405724)","18 W 55th St","","New York",10019,"-73.97604749164573","40.7619257405724"
"S & A Art Gallery Inc","POINT (-73.95658934527663 40.778446433456885)","1248 Lexington Ave","","New York",10028,"-73.95658934527663","40.778446433456885"
"S 2 Editions Ltd","POINT (-74.00479226201507 40.72529481116742)","155 Ave of the Americas","","New York",10013,"-74.00479226201507","40.72529481116742"
"S E Art & Design Inc","POINT (-73.96523800836928 40.76074545206315)","232 E 59th St","","New York",10022,"-73.96523800836928","40.76074545206315"
"Sabarsky Serge Gallery","POINT (-73.96160396766 40.77589272888765)","58 E 79th St","","New York",10021,"-73.96160396766","40.77589272888765"
"Sabbatique Ltd","POINT (-73.97398003703451 40.73684451842)","10 Waterside Plz","","New York",10010,"-73.97398003703451","40.73684451842"
"Sabrina Enterprise.Com Artworks Sales and Rprdctns","POINT (-73.86790725213015 40.75905863804786)","10022 32nd Ave","","East Elmhurst",11369,"-73.86790725213015","40.75905863804786"
"Sacks Fine Art","POINT (-73.96475380699054 40.76182788882621)","229 East 60th Street","","New York",10022,"-73.96475380699054","40.76182788882621"
"Safani Gallery Inc","POINT (-73.96369840924123 40.77483293527021)","980 Madison Ave","","New York",10021,"-73.96369840924123","40.77483293527021"
"Salz Trager Janet","POINT (-73.96550966274957 40.76954041095984)","700 Park Ave","","New York",10021,"-73.96550966274957","40.76954041095984"
