Active Date,COUNTY,LEGAL NAME,INSTITUTION TYPE DESCRIPTION,INSTITUTION SUB TYPE DESCRIPTION,GRADE ORGANIZATION DESCRIPTION,MAILING ADDRESS,MAIL CITY,STATE,ZIP
7/1/08,NEW YORK,ESPERANZA PREPATORY ACADEMY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior Senior School,240 E 109TH ST,NEW YORK,NY,10029
7/1/08,NEW YORK,MOSAIC PREPARATORY ACADEMY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,141 E 111TH ST,NEW YORK,NY,10029
7/1/04,NEW YORK,CENTRAL PARK EAST I,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,1573 MADISON AVE,NEW YORK,NY,10029
7/1/04,NEW YORK,ISAAC NEWTON MS FOR MATH AND SCIENCE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,260 PLEASANT AVE,NEW YORK,NY,10029
7/1/04,NEW YORK,CENTRAL PARK EAST II,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,19 E 103 ST,NEW YORK,NY,10029
7/1/84,NEW YORK,MANHATTAN CENTER FOR SCIENCE & MATHEMATICS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,260 PLEASANT AVE,NEW YORK,NY,10029
7/1/03,NEW YORK,PARK EAST HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,230 E 105TH ST,NEW YORK,NY,10029
7/1/03,NEW YORK,CENTRAL PARK EAST HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,1573 MADISON AVE-RM 321,NEW YORK,NY,10029
7/1/03,NEW YORK,YOUNG WOMEN'S LEADERSHIP SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior Senior School,105 E 106TH ST,NEW YORK,NY,10029
7/1/03,NEW YORK,HERITAGE SCHOOL (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,1680 LEXINGTON AVE,NEW YORK,NY,10029
7/1/80,NEW YORK,SAINT ANN SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,314 E 110TH ST,NEW YORK,NY,10029
7/1/80,NEW YORK,OUR LADY QUEEN OF ANGELS SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,229 E 112TH ST,NEW YORK,NY,10029
7/1/02,NEW YORK,AMBER CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,220 E 106TH ST,NEW YORK,NY,10029
7/1/00,NEW YORK,HARBOR SCIENCE AND ARTS CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,132-142 E 111TH ST,NEW YORK,NY,10029
7/1/08,NEW YORK,DREAM CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,1991 2ND AVE,NEW YORK,NY,10029
7/1/08,NEW YORK,SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 3,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,141 E 111TH ST-3RD FL,NEW YORK,NY,10029
7/1/10,NEW YORK,RENSAISSANCE CHARTER HIGH SCHOOL FOR INNOVATION,PUBLIC SCHOOLS,CHARTER SCHOOL,Senior High,410 E 100TH ST-2ND FL,NEW YORK,NY,10029
7/1/13,NEW YORK,EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL II,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,1573 MADISON AVE-RM 320,NEW YORK,NY,10029
7/1/05,NEW YORK,NEW YORK CENTER FOR AUTISM CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,433 E 100TH ST,NEW YORK,NY,10029
7/1/80,NEW YORK,REECE SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Special School,25 E 104TH ST,NEW YORK,NY,10029
7/1/08,NEW YORK,MANHATTAN FREE SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Junior Senior School,115 E 106TH ST,NEW YORK,NY,10029
7/1/80,NEW YORK,SAINT BERNARD'S SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,4 E 98TH ST,NEW YORK,NY,10029
7/1/96,NEW YORK,EAST HARLEM SCHOOL AT EXODUS HOUSE,NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,309 E 103RD ST,NEW YORK,NY,10029
7/1/03,NEW YORK,PS 92 MARY MCLEOD BETHUNE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,222 W 134TH ST,NEW YORK,NY,10030
7/1/80,NEW YORK,PS 123 MAHALIA JACKSON,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,301 W 140TH ST,NEW YORK,NY,10030
7/1/03,NEW YORK,PS 175 HENRY H GARNET,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,175 W 134TH ST,NEW YORK,NY,10030
7/1/80,NEW YORK,PS 194 COUNTEE CULLEN,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,244 W 144TH ST,NEW YORK,NY,10030
7/1/04,NEW YORK,KNOWLEDGE AND POWER PREP ACADEMY IV,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,6 EDGECOMBE AVE,NEW YORK,NY,10030
7/1/13,NEW YORK,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior High School,6 EDGECOMBE AVE,NEW YORK,NY,10030
7/1/04,NEW YORK,MOTT HALL HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,6 EDGECOMBE AVE,NEW YORK,NY,10030
7/1/03,NEW YORK,THURGOOD MARSHALL ACADEMY FOR LEARNING & SOCIAL CHANGE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior Senior School,200-214 W 135TH ST,NEW YORK,NY,10030
7/1/80,NEW YORK,SAINT CHARLES BORROMEO SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,214 W 142ND ST,NEW YORK,NY,10030
7/1/06,NEW YORK,DEMOCRACY PREPARATORY CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Junior Senior School,222 W 134TH ST,NEW YORK,NY,10030
7/1/08,NEW YORK,ST. HOPE LEADERSHIP ACADEMY CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Middle School,222 W 134TH ST-RM 111,NEW YORK,NY,10030
7/1/10,NEW YORK,SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 5,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,301 W 140TH ST-3RD FL,NEW YORK,NY,10030
7/1/10,NEW YORK,DEMOCRACY PREP HARLEM CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Junior Senior School,207 W 133RD ST,NEW YORK,NY,10030
7/1/11,NEW YORK,NEW DESIGN MIDDLE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,625 W 133RD ST,NEW YORK,NY,10031
7/1/03,NEW YORK,HIGH SCHOOL MATH SCIENCE AND ENGINEERING AT CCNY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,240 CONVENT AVE,NEW YORK,NY,10031
7/1/80,NEW YORK,PS 153 ADAM CLAYTON POWELL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,1750 AMSTERDAM AVE,NEW YORK,NY,10031
7/1/80,NEW YORK,PS 192 JACOB H SCHIFF,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,500 W 138TH ST,NEW YORK,NY,10031
7/1/14,NEW YORK,HAMILTON GRANGE MIDDLE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior High School,500 W 138TH ST,NEW YORK,NY,10031
7/1/03,NEW YORK,PS/IS 210 TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LDERSHIP,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,501-503 W 152ND ST,NEW YORK,NY,10031
7/1/05,NEW YORK,PS 325,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,500 W 138TH ST,NEW YORK,NY,10031
7/1/07,NEW YORK,HAMILTON HEIGHTS SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,1750 AMSTERDAM AVE,NEW YORK,NY,10031
7/1/03,NEW YORK,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,433 W 135TH ST,NEW YORK,NY,10031
7/1/80,NEW YORK,OUR LADY OF LOURDES SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,468 W 143RD ST,NEW YORK,NY,10031
7/1/06,NEW YORK,NEW HEIGHTS ACADEMY CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Junior Senior School,1818 AMSTERDAM AVE,NEW YORK,NY,10031
7/1/95,NEW YORK,PS 4 DUKE ELLINGTON,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,500 W 160TH ST,NEW YORK,NY,10032
7/1/95,NEW YORK,PS 8 LUIS BELLIARD,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,465 W 167TH ST,NEW YORK,NY,10032
7/1/80,NEW YORK,PS 28 WRIGHT BROTHERS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,475 W 155TH ST,NEW YORK,NY,10032
7/1/80,NEW YORK,PS 128 AUDUBON,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,560 W 169TH ST,NEW YORK,NY,10032
7/1/04,NEW YORK,MS 319 MARIE TERESA,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,21 JUMEL PL,NEW YORK,NY,10032
7/1/04,NEW YORK,MS 324 PATRIA MIRABAL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,21 JUMEL PL,NEW YORK,NY,10032
7/1/04,NEW YORK,MS 328 MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,401 W 164TH ST,NEW YORK,NY,10032
7/1/12,NEW YORK,CASTLE BRIDGE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,560 W 169TH ST,NEW YORK,NY,10032
7/1/03,NEW YORK,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMATICS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,501 W 165TH ST,NEW YORK,NY,10032
7/1/80,NEW YORK,SAINT ROSE OF LIMA SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,517 W 164TH ST,NEW YORK,NY,10032
7/1/12,NEW YORK,KIPP NYC WASHINGTON HEIGHTS ACADEMY CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,21 JUMEL PL-RM D109,NEW YORK,NY,10032
7/1/80,NEW YORK,YESHIVA UNIVERSITY HIGH SCHOOL,NON-PUBLIC SCHOOLS,JEWISH,Senior High,2540 AMSTERDAM AVE,NEW YORK,NY,10033
7/1/80,NEW YORK,NEW YORK CITY GEOGRAPHIC DISTRICT # 6,SCHOOL DISTRICTS,CITY,NA,4360 BROADWAY-RM 527,NEW YORK,NY,10033
7/1/03,NEW YORK,PS 48 PO MICHAEL J BUCZEK,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,4360-78 BROADWAY,NEW YORK,NY,10033
7/1/13,NEW YORK,DOES PUENTES ELEMENTARY SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,185 WADSWORTH AVE,NEW YORK,NY,10033
7/1/03,NEW YORK,PS 115 ALEXANDER HUMBOLDT,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,586 W 177TH ST,NEW YORK,NY,10033
7/1/80,NEW YORK,PS 132 JUAN PABLO DUARTE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,185 WADSWORTH AVE,NEW YORK,NY,10033
7/1/03,NEW YORK,JHS 143 ELEANOR ROOSEVELT,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,511 W 182ND ST,NEW YORK,NY,10033
7/1/80,NEW YORK,PS 173,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,306 FT WASHINGTON AVE,NEW YORK,NY,10033
7/1/06,NEW YORK,HARBOR HEIGHTS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,306 FORT WASHINGTON AVE-RM  414,NEW YORK,NY,10033
7/1/93,NEW YORK,IS 528 BEA FULLER RODGERS SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,180 WADSWORTH AVE,NEW YORK,NY,10033
7/1/06,NEW YORK,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior Senior School,504 W 158TH ST,NEW YORK,NY,10033
7/1/06,NEW YORK,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior Senior School,511 W 182ND ST,NEW YORK,NY,10033
7/1/80,NEW YORK,SAINT ELIZABETH SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,612 W 187TH ST,NEW YORK,NY,10033
7/1/80,NEW YORK,INCARNATION SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,570 W 175TH ST,NEW YORK,NY,10033
7/1/80,NEW YORK,YESHIVA RABBI S R HIRSCH,NON-PUBLIC SCHOOLS,JEWISH,K-12 School,85-93 BENNETT AVE,NEW YORK,NY,10033
7/1/93,NEW YORK,PS 5 ELLEN LURIE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,3703 10TH AVE,NEW YORK,NY,10034
7/1/93,NEW YORK,PS 18 PARK TERRACE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,4124 9TH AVE,NEW YORK,NY,10034
7/1/03,NEW YORK,JHS 52 INWOOD,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,650 ACADEMY ST,NEW YORK,NY,10034
7/1/80,NEW YORK,PS 98 SHORAC KAPPOCK,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,512 W 212TH ST,NEW YORK,NY,10034
7/1/04,NEW YORK,PAULA HEDBAVNY SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,421 W 219TH ST,NEW YORK,NY,10034
7/1/04,NEW YORK,AMISTAD DUAL LANGUAGE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,4862 BROADWAY,NEW YORK,NY,10034
7/1/04,NEW YORK,MUSCOTA,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,4862 BROADWAY,NEW YORK,NY,10034
7/1/07,NEW YORK,WASHINGTON HEIGHTS ACADEMY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,202 SHERMAN AVE,NEW YORK,NY,10034
7/1/14,NEW YORK,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGIES,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,650 ACADEMY ST,NEW YORK,NY,10034
7/1/09,NEW YORK,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,650 ACADEMY ST,NEW YORK,NY,10034
7/1/80,NEW YORK,GOOD SHEPHERD SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,620 ISHAM ST,NEW YORK,NY,10034
7/1/80,NEW YORK,NORTHEASTERN ACADEMY,NON-PUBLIC SCHOOLS,SEVENTH-DAY ADVENTIST,Senior High,532 W 215TH ST,NEW YORK,NY,10034
7/1/80,NEW YORK,MANHATTAN CHRISTIAN ACADEMY,NON-PUBLIC SCHOOLS,CHRISTIAN FUNDAMENTALIST,Elementary,401 W 205TH ST,NEW YORK,NY,10034
7/1/10,NEW YORK,INWOOD ACADEMY FOR LEADERSHIP CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Junior Senior School,108 COOPERS ST,NEW YORK,NY,10034
7/1/03,NEW YORK,PS 79 HORAN SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,55 E 120TH ST,NEW YORK,NY,10035
7/1/03,NEW YORK,PS 138,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,K-12 School,144-176 E 128TH ST,NEW YORK,NY,10035
7/1/80,NEW YORK,NEW YORK CITY GEOGRAPHIC DISTRICT # 4,SCHOOL DISTRICTS,CITY,NA,319 E 117TH ST,NEW YORK,NY,10035
7/1/80,NEW YORK,PS 7 SAMUEL STERN,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,160 E 120TH ST,NEW YORK,NY,10035
7/1/04,NEW YORK,RIVER EAST ELEMENTARY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,508 E 120TH ST,NEW YORK,NY,10035
7/1/02,NEW YORK,PS 96 JOSEPH LANZETTA,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,216 E 120TH ST,NEW YORK,NY,10035
7/1/03,NEW YORK,PS 112 JOSE CELSO BARBOSA,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,535 E 119TH ST,NEW YORK,NY,10035
7/1/80,NEW YORK,PS 155 WILLIAM PACA,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,319 E 117TH ST,NEW YORK,NY,10035
7/1/03,NEW YORK,PS 206 JOSE CELSO BARBOSA,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,508 E 120TH ST,NEW YORK,NY,10035
7/1/08,NEW YORK,RENAISSANCE SCHOOL OF THE ARTS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,319 E 117TH ST,NEW YORK,NY,10035
7/1/09,NEW YORK,GLOBAL TECHNOLOGY PREPARATORY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,160 E 120TH ST,NEW YORK,NY,10035
7/1/03,NEW YORK,COALITION SCHOOL FOR SOCIAL CHANGE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,2351 1ST AVE,NEW YORK,NY,10035
7/1/80,NEW YORK,MOUNT CARMEL-HOLY ROSARY SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,371 PLEASANT AVE,NEW YORK,NY,10035
7/1/80,NEW YORK,SAINT PAUL SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,114 E 118TH ST,NEW YORK,NY,10035
7/1/01,NEW YORK,HARLEM PREP CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,240 E 123RD ST-1ST FL,NEW YORK,NY,10035
7/1/05,NEW YORK,HARLEM VILLAGE ACADEMY LEADERSHIP CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Junior Senior School,2351 1ST AVE-4TH FL,NEW YORK,NY,10035
7/1/03,NEW YORK,PS 30 HERNANDEZ/HUGHES,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,144-176 E 128TH ST,NEW YORK,NY,10035
7/1/13,NEW YORK,URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,2005 MADISON AVE,NEW YORK,NY,10035
7/1/04,NEW YORK,HARLEM RENAISSANCE HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,22 E 128TH ST,NEW YORK,NY,10035
7/1/05,NEW YORK,HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Junior Senior School,35 E 125TH ST,NEW YORK,NY,10035
7/1/08,NEW YORK,SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,144 E 128TH ST-3RD FL,NEW YORK,NY,10035
7/1/80,NEW YORK,KING'S ACADEMY (THE),NON-PUBLIC SCHOOLS,INDEPENDENT,Junior Senior School,2345 3RD AVE,NEW YORK,NY,10035
7/1/80,NEW YORK,STOREFRONT ACADEMY HARLEM,NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,70 E 129TH ST,NEW YORK,NY,10035
7/1/03,NEW YORK,PS 51 ELIAS HOWE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,525 W 44TH ST,NEW YORK,NY,10036
7/1/00,NEW YORK,PS 212 MIDTOWN WEST,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,328 W 48TH ST,NEW YORK,NY,10036
7/1/03,NEW YORK,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior Senior School,328 W 48TH ST,NEW YORK,NY,10036
7/1/03,NEW YORK,JACQUELINE KENNEDY-ONASSIS HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,120 W 46TH ST,NEW YORK,NY,10036
7/1/95,NEW YORK,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,123 W 43RD ST,NEW YORK,NY,10036
7/1/89,NEW YORK,DE LA SALLE ACADEMY,NON-PUBLIC SCHOOLS,INDEPENDENT,Middle School,332 W 43RD ST,NEW YORK,NY,10036
7/1/03,NEW YORK,BEACON HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,522 W 44TH ST,NEW YORK,NY,10036
7/1/80,NEW YORK,PS 133 FRED R MOORE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,2121 5TH AVE,NEW YORK,NY,10037
7/1/80,NEW YORK,PS 197 JOHN B RUSSWURM,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,2230 5TH AVE,NEW YORK,NY,10037
7/1/80,NEW YORK,SAINT MARK THE EVANGELIST SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,55 W 138TH ST,NEW YORK,NY,10037
7/1/12,NEW YORK,GLOBAL COMMUNITY CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,2350 5TH AVE,NEW YORK,NY,10037
7/1/80,NEW YORK,PS 1 ALFRED E SMITH,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,8 HENRY ST,NEW YORK,NY,10038
7/1/03,NEW YORK,PS 126 JACOB AUGUST RIIS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,80 CATHERINE ST,NEW YORK,NY,10038
7/1/12,NEW YORK,PECK SLIP SCHOOL (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,1 PECK SLIP,NEW YORK,NY,10038
7/1/13,NEW YORK,URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,411 PEARL ST,NEW YORK,NY,10038
7/1/14,NEW YORK,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,411 PEARL ST,NEW YORK,NY,10038
7/1/14,NEW YORK,URBAN ASSEMBLY MAKER ACADEMY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,411 PEARL ST,NEW YORK,NY,10038
7/1/03,NEW YORK,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,411 PEARL ST,NEW YORK,NY,10038
7/1/08,NEW YORK,BLUE SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,241 WATER ST,NEW YORK,NY,10038
7/1/93,NEW YORK,UNITED CEREBRAL PALSY OF NEW YORK CITY,NON-PUBLIC SCHOOLS,INDEPENDENT,Special School,80 MAIDEN LN-7TH FL,NEW YORK,NY,10038
7/1/97,NEW YORK,"NYSARC, INC-NEW YORK CITY CHAPTER",NON-PUBLIC SCHOOLS,INDEPENDENT,Special School,83 MAIDEN LN-7TH FL,NEW YORK,NY,10038
7/1/97,NEW YORK,SCHOOL FOR YOUNG PERFORMERS,NON-PUBLIC SCHOOLS,INDEPENDENT,Junior Senior School,222 BROADWAY-21ST FL,NEW YORK,NY,10038
7/1/03,NEW YORK,PS 46 ARTHUR TAPPAN,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,2987 FREDERICK DOUGLAS BLVD,NEW YORK,NY,10039
7/1/03,NEW YORK,PS 200 JAMES MCCUNE SMITH SCHOOL (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,2589 7TH AVE,NEW YORK,NY,10039
7/1/93,NEW YORK,FREDERICK DOUGLASS ACADEMY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior Senior School,2581 7TH AVE,NEW YORK,NY,10039
7/1/80,NEW YORK,PS 152 DYCKMAN VALLEY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,93 NAGLE AVE,NEW YORK,NY,10040
7/1/01,NEW YORK,PROFESSOR JUAN BOSCH PUBLIC SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,12-18 ELLWOOD ST,NEW YORK,NY,10040
7/1/80,NEW YORK,PS/IS 187 HUDSON CLIFFS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,349 CABRINI BLVD,NEW YORK,NY,10040
7/1/80,NEW YORK,PS 189,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,2580 AMSTERDAM AVE,NEW YORK,NY,10040
7/1/03,NEW YORK,IS 218 SALOME URENA,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,4600 BROADWAY,NEW YORK,NY,10040
7/1/05,NEW YORK,MIDDLE SCHOOL 322,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,4600 BROADWAY,NEW YORK,NY,10040
7/1/05,NEW YORK,CITY COLLEGE ACADEMY OF THE ARTS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior Senior School,4600 BROADWAY,NEW YORK,NY,10040
7/1/99,NEW YORK,COLLEGE ACADEMY (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,549 AUDUBON AVE,NEW YORK,NY,10040
7/1/99,NEW YORK,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,549 AUDUBON AVE,NEW YORK,NY,10040
7/1/99,NEW YORK,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,549 AUDUBON AVE,NEW YORK,NY,10040
