Active Date,COUNTY,LEGAL NAME,INSTITUTION TYPE DESCRIPTION,INSTITUTION SUB TYPE DESCRIPTION,GRADE ORGANIZATION DESCRIPTION,MAILING ADDRESS,MAIL CITY,STATE,ZIP
7/1/13,QUEENS,HUNTERS POINT COMMUNITY MIDDLE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior High School,1-50 51ST AVE,LONG ISLAND CITY,NY,11101
7/1/08,QUEENS,ACADEMY FOR CAREERS IN TELEVISION AND FILM,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,1-50 51ST AVE,LONG ISLAND CITY,NY,11101
7/1/03,QUEENS,INFORMATION TECHNOLOGY HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,21-16 44TH RD,LONG ISLAND CITY,NY,11101
7/1/95,QUEENS,NEWCOMERS HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,28-01 41ST AVE,LONG ISLAND CITY,NY,11101
7/1/96,QUEENS,ACADEMY OF AMERICAN STUDIES,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,28-04 41ST AVE,LONG ISLAND CITY,NY,11101
7/1/80,QUEENS,EVANGEL CHRISTIAN SCHOOL,NON-PUBLIC SCHOOLS,CHRISTIAN FUNDAMENTALIST,K-12 School,39-21 CRESCENT ST,LONG ISLAND CITY,NY,11101
7/1/09,QUEENS,GROWING UP GREEN CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,39-27 28TH ST,LONG ISLAND CITY,NY,11101
7/1/80,QUEENS,PS 17 HENRY DAVID THOREAU,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,28-37 29TH ST,LONG ISLAND CITY,NY,11102
7/1/80,QUEENS,PS 171 PETER G VAN ALST,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,14-14 29TH AVE,LONG ISLAND CITY,NY,11102
7/1/03,QUEENS,PS 234,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,30-15 29TH ST,ASTORIA,NY,11102
7/1/96,QUEENS,ACADEMY FOR NEW AMERICANS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,30-14 30TH ST,ASTORIA,NY,11102
7/1/14,QUEENS,30TH AVENUE SCHOOL (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,28-37 29TH ST,ASTORIA,NY,11102
7/1/84,QUEENS,SAINT DEMETRIOS GREEK AMERICAN SCHOOL,NON-PUBLIC SCHOOLS,GREEK ORTHODOX,K-12 School,30-03 30TH DR,ASTORIA,NY,11102
7/1/80,QUEENS,IS 10 HORACE GREELEY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,45-11 31ST AVE,LONG ISLAND CITY,NY,11103
7/1/80,QUEENS,PS 70,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,30-45 42ND ST,LONG ISLAND CITY,NY,11103
7/1/80,QUEENS,WILLIAM CULLEN BRYANT HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,48-10 31ST AVE,LONG ISLAND CITY,NY,11103
7/1/80,QUEENS,SAINT JOSEPH CATHOLIC ACADEMY,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - BROOKLYN DIOCESE,Elementary,28-46 44TH ST,LONG ISLAND CITY,NY,11103
7/1/03,QUEENS,EL-BER ISLAMIC SCHOOL,NON-PUBLIC SCHOOLS,ISLAMIC,Elementary,25-42 49TH ST,ASTORIA,NY,11103
7/1/09,QUEENS,TOOBAA ACADEMY,NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,28-18 STEINWAY ST-#206,ASTORIA,NY,11103
7/1/80,QUEENS,PS 199 MAURICE A FITZGERALD,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,39-20 48TH AVE,LONG ISLAND CITY,NY,11104
7/1/14,QUEENS,CHILDREN'S LAB SCHOOL (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,45-46 42ND ST,LONG ISLAND CITY,NY,11104
7/1/80,QUEENS,PS 150,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,40-01 43RD AVE,LONG ISLAND CITY,NY,11104
7/1/80,QUEENS,PS 84 STEINWAY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,22-45 41ST ST,ASTORIA,NY,11105
7/1/80,QUEENS,PS 85 JUDGE CHARLES VALLONE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,23-70 31ST ST,LONG ISLAND CITY,NY,11105
7/1/80,QUEENS,PS 122 MAMIE FAY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,21-21 DITMARS BLVD,ASTORIA,NY,11105
7/1/80,QUEENS,IS 141 STEINWAY (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,37-11 21ST AVE,LONG ISLAND CITY,NY,11105
7/1/06,QUEENS,YOUNG WOMENS LEADERSHIP SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior Senior School,23-15 NEWTOWN AVE,LONG ISLAND CITY,NY,11105
7/1/80,QUEENS,SAINT FRANCIS OF ASSISI SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - BROOKLYN DIOCESE,Elementary,21-18 46TH ST,ASTORIA,NY,11105
7/1/80,QUEENS,IMMACULATE CONCEPTION SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - BROOKLYN DIOCESE,Elementary,21-63 29TH ST,ASTORIA,NY,11105
7/1/80,QUEENS,SAINT JOHN'S PREPARATORY SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - BROOKLYN DIOCESE,Senior High,21-21 CRESCENT ST,ASTORIA,NY,11105
7/1/80,QUEENS,QUEENS LUTHERAN SCHOOL,NON-PUBLIC SCHOOLS,LUTHERAN,Elementary,31-20 21ST AVE,ASTORIA,NY,11105
7/1/80,QUEENS,PS 76 WILLIAM HALLET,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,36-36 10TH ST,LONG ISLAND CITY,NY,11106
7/1/80,QUEENS,ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,31-51 21ST ST,LONG ISLAND CITY,NY,11106
7/1/80,QUEENS,PS 166 HENRY GRADSTEIN,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,33-09 35TH AVE,LONG ISLAND CITY,NY,11106
7/1/80,QUEENS,IS 204 OLIVER W HOLMES,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,36-41 28TH ST,LONG ISLAND CITY,NY,11106
7/1/13,QUEENS,ENERGY TECH HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,36-41 28TH ST,LONG ISLAND CITY,NY,11106
7/1/03,QUEENS,LONG ISLAND CITY HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,14-30 BROADWAY,LONG ISLAND CITY,NY,11106
7/1/01,QUEENS,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,35-12 35TH AVE,LONG ISLAND CITY,NY,11106
7/1/03,QUEENS,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior Senior School,34-12 36TH AVE,LONG ISLAND CITY,NY,11106
7/1/99,QUEENS,IDEAL ISLAMIC SCHOOL,NON-PUBLIC SCHOOLS,ISLAMIC,Elementary,31-29 12TH ST,LONG ISLAND CITY,NY,11106
7/1/02,QUEENS,OUR WORLD NEIGHBORHOOD CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,36-12 35TH AVE,ASTORIA,NY,11106
7/1/08,QUEENS,VOICE CHARTER SCHOOL OF NEW YORK,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,36-24 12TH ST,LONG ISLAND CITY,NY,11106
7/1/97,QUEENS,PS/IS 78,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,48-09 CENTER BLVD,LONG ISLAND CITY,NY,11109
7/1/80,KINGS,MEDICAL DIVISION-DEPARTMENT OF PERSONNEL,PUBLIC SCHOOLS,NYC BUREAU,NA,65 COURT STREET,NEW YORK,NY,11201
7/1/80,KINGS,CENTER FOR RECRUITMENT & PROG DEVELOPMENT,PUBLIC SCHOOLS,NYC BUREAU,NA,110 LVNGSTN ST-RM 218,BROOKLYN,NY,11201
7/1/91,KINGS,CHIEF EXECUTIVE FOR MONITORING & SCHOOL IMPROVEMENT,PUBLIC SCHOOLS,NYC BUREAU,NA,110 LIVINGSTON ST,BROOKLYN,NY,11201
7/1/98,KINGS,OFFICE OF PARENT ADVOCACY & ENGAGEMENT,PUBLIC SCHOOLS,NYC BUREAU,NA,110 LVNGSTN ST-RM 108,BROOKLYN,NY,11201
7/1/80,KINGS,DIVISION OF SCHOOL PROGRAMS/SUPPORT SERVICES,PUBLIC SCHOOLS,NYC BUREAU,NA,110 LVNGSTN ST-RM 510,BROOKLYN,NY,11201
7/1/80,KINGS,OFFICE OF THE AUDITOR GENERAL,PUBLIC SCHOOLS,NYC BUREAU,NA,65 COURT ST-RM 1100,BROOKLYN,NY,11201
7/1/80,KINGS,DIVISION OF PUBLIC AFFAIRS,PUBLIC SCHOOLS,NYC BUREAU,NA,110 LIVINGSTON ST,BROOKLYN,NY,11201
7/1/96,KINGS,OFFICE OF FINANCIAL OPERATIONS,PUBLIC SCHOOLS,NYC BUREAU,NA,65 COURT ST,BROOKLYN,NY,11201
7/1/80,KINGS,DIVISION OF HUMAN RESOURCES,PUBLIC SCHOOLS,NYC BUREAU,NA,65 COURT ST-RM405G,BROOKLYN,NY,11201
7/1/80,KINGS,IMPARTIAL HEARING OFFICE,PUBLIC SCHOOLS,NYC BUREAU,NA,131 LIVINGSTON ST-RM 201,BROOKLYN,NY,11201
7/1/04,KINGS,OFFICE OF PERSONNEL INVESTIGATIONS,PUBLIC SCHOOLS,NYC BUREAU,NA,65 COURT ST-RM 223,BROOKLYN,NY,11201
7/1/90,KINGS,BUREAU FOR PROJECT RE-ENTRY,PUBLIC SCHOOLS,NYC BUREAU,NA,110 LIVINGSTON ST,BROOKLYN,NY,11201
