NAME,the_geom,ADDRESS1,ADDRESS2,CITY,ZIP,long,lat
Ralph Chait Galleries Inc,POINT (-73.97472467424907 40.76269798806097),724 5th Ave,,Manhattan,10019,-73.97472467,40.76269799
Randel Gallery Inc,POINT (-73.96194182288089 40.77557044121497),49 East 78th Street,1B,Manhattan,10021,-73.96194182,40.77557044
Randolph & Tate Assocs,POINT (-73.98804680373928 40.74435684322828),234 5th Ave,,Manhattan,10001,-73.9880468,40.74435684
Raphael Fodde Editions,POINT (-73.98997735599107 40.70208740023595),70 WASHINGTON ST,,Brooklyn,11201,-73.98997736,40.7020874
Rare art Gallery,POINT (-74.00368999417438 40.75021572567968),521 W 26th St Bsmt,,Manhattan,10001,-74.00368999,40.75021573
Raydon Gallery,POINT (-73.96032667632238 40.77833720539059),1091 Madison Ave,,Manhattan,10001,-73.96032668,40.77833721
Red Dot,POINT (-73.99505920460594 40.74274457506512),140 W 22nd St,,Manhattan,10011,-73.9950592,40.74274458
Reece Galleries Inc The,POINT (-73.97570995606252 40.7633560679256),24 W 57th St,,Manhattan,10019,-73.97570996,40.76335607
Reeves Contemporary Inc,POINT (-74.00518820857934 40.74928257893011),535 W 24th St,,Manhattan,10011,-74.00518821,40.74928258
Regina's Art Center,POINT (-74.00172859190214 40.603379984260826),1921 Benson Ave,,Brooklyn,11214,-74.00172859,40.60337998
Rehs Galleries Inc,POINT (-73.973110440921 40.76297400449145),5 E 57th St,Fl 8,Manhattan,10022,-73.97311044,40.762974
Reinhold Brown Gallery,POINT (-73.96068894272547 40.77864024499883),1100 Madison Ave,Ph,Manhattan,10028,-73.96068894,40.77864024
Renaissance Gallery,POINT (-73.94134747495355 40.82412358361577),300 W 147th St,,Manhattan,10039,-73.94134747,40.82412358
Resnick Ira Inc,POINT (-73.96881061087802 40.76189452972676),133 E 58th St,Ste 1001,Manhattan,10022,-73.96881061,40.76189453
Ricco Maresca Gallery,POINT (-74.0068465345964 40.74661224727327),529 W 20th St,,Manhattan,10011,-74.00684653,40.74661225
Richard Gray Gallery,POINT (-73.96268744300946 40.776035116594834),1018 Madison Ave,,Manhattan,10021,-73.96268744,40.77603512
Richard Solomon,POINT (-73.96796822375437 40.75490203267615),305 E 50th St,,Manhattan,10022,-73.96796822,40.75490203
Richard York Gallery,POINT (-73.96884242026259 40.76764185257714),21 E. 65th St.,2nd. Fl.,Manhattan,10065,-73.96884242,40.76764185
Rienzo Gallery,POINT (-73.9671517745906 40.769830800695885),20 E 69th St,,Manhattan,10021,-73.96715177,40.7698308
Ritter-Antik Inc,POINT (-73.99270194219845 40.732504272410424),35 E 10th St,,Manhattan,10003,-73.99270194,40.73250427
Rivington Bar & Art Gallery,POINT (-73.98443865749057 40.719087479643825),174 Rivington St,,Manhattan,10002,-73.98443866,40.71908748
Robert Lee Morris Inc,POINT (-74.00236650608144 40.724407088132416),400 W Broadway,,Manhattan,10012,-74.00236651,40.72440709
Robert Mann Gallery,POINT (-74.00591124427345 40.749743384358574),210 11th Ave,,Manhattan,10001,-74.00591124,40.74974338
Robert Miller Gallery Inc,POINT (-74.00423398601862 40.74998085501487),526 W 26th St,,Manhattan,10001,-74.00423399,40.74998086
Robert Steele Gallery,POINT (-74.00398547780941 40.74942345786739),511 W 25th St,,Manhattan,10001,-74.00398548,40.74942346
Robertson African Arts,POINT (-73.99212377125507 40.7415083515344),36 W 22nd St,Apt 4,Manhattan,10010,-73.99212377,40.74150835
